Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-06-14,4002,9.4,52.0,35.050918,-85.293019
2023-06-17,4002,20.1,71.0,35.050918,-85.293019
2023-06-23,4002,3.8,21.0,35.050918,-85.293019
2023-06-29,4002,41.9,117.0,35.050918,-85.293019
2023-07-05,4002,8.6,48.0,35.050918,-85.293019
2023-07-11,4002,6.2,34.0,35.050918,-85.293019
2023-07-17,4002,40.5,113.0,35.050918,-85.293019
2023-07-23,4002,8.0,44.0,35.050918,-85.293019
2023-07-29,4002,13.0,58.0,35.050918,-85.293019
2023-08-04,4002,6.1,34.0,35.050918,-85.293019
2023-08-10,4002,4.3,24.0,35.050918,-85.293019
2023-08-16,4002,4.4,24.0,35.050918,-85.293019
2023-08-22,4002,16.2,64.0,35.050918,-85.293019
2023-08-28,4002,6.6,37.0,35.050918,-85.293019
2023-09-03,4002,9.7,52.0,35.050918,-85.293019
2023-09-09,4002,10.5,54.0,35.050918,-85.293019
2023-09-15,4002,8.4,47.0,35.050918,-85.293019
2023-09-21,4002,12.9,58.0,35.050918,-85.293019
2023-09-27,4002,11.2,55.0,35.050918,-85.293019
2023-10-03,4002,9.7,52.0,35.050918,-85.293019
2023-10-09,4002,5.8,32.0,35.050918,-85.293019
2023-10-15,4002,1.6,9.0,35.050918,-85.293019
2023-10-21,4002,5.0,28.0,35.050918,-85.293019
2023-10-27,4002,11.3,55.0,35.050918,-85.293019
2023-11-02,4002,13.4,59.0,35.050918,-85.293019
2023-11-08,4002,12.9,58.0,35.050918,-85.293019
2023-11-14,4002,10.4,53.0,35.050918,-85.293019
2023-11-20,4002,8.0,44.0,35.050918,-85.293019
2023-11-26,4002,9.8,52.0,35.050918,-85.293019
2023-12-02,4002,8.5,47.0,35.050918,-85.293019
2023-12-08,4002,13.1,58.0,35.050918,-85.293019
2023-12-14,4002,7.6,42.0,35.050918,-85.293019
2023-12-20,4002,13.3,59.0,35.050918,-85.293019
2023-12-26,4002,2.2,12.0,35.050918,-85.293019
2023-10-01,4002,12.716667,,35.050918,-85.293019
2023-10-02,4002,11.125,,35.050918,-85.293019
2023-10-03,4002,9.65,,35.050918,-85.293019
2023-10-04,4002,13.4,,35.050918,-85.293019
2023-10-05,4002,17.483333,,35.050918,-85.293019
2023-10-06,4002,12.725,,35.050918,-85.293019
2023-10-07,4002,3.416667,,35.050918,-85.293019
2023-10-08,4002,3.4,,35.050918,-85.293019
2023-10-09,4002,4.929167,,35.050918,-85.293019
2023-10-10,4002,7.6875,,35.050918,-85.293019
2023-10-11,4002,11.5,,35.050918,-85.293019
2023-10-12,4002,11.516667,,35.050918,-85.293019
2023-10-13,4002,8.933333,,35.050918,-85.293019
2023-10-14,4002,4.845833,,35.050918,-85.293019
2023-10-15,4002,2.233333,,35.050918,-85.293019
2023-10-16,4002,3.108333,,35.050918,-85.293019
2023-10-17,4002,3.854167,,35.050918,-85.293019
2023-10-18,4002,6.508333,,35.050918,-85.293019
2023-10-19,4002,14.545833,,35.050918,-85.293019
2023-10-20,4002,11.495833,,35.050918,-85.293019
2023-10-21,4002,5.4625,,35.050918,-85.293019
2023-10-22,4002,5.845833,,35.050918,-85.293019
2023-10-23,4002,7.45,,35.050918,-85.293019
2023-10-24,4002,9.3375,,35.050918,-85.293019
2023-10-25,4002,9.758333,,35.050918,-85.293019
2023-10-26,4002,10.229167,,35.050918,-85.293019
2023-10-27,4002,14.029167,,35.050918,-85.293019
2023-10-28,4002,12.6125,,35.050918,-85.293019
2023-10-29,4002,11.104167,,35.050918,-85.293019
2023-10-30,4002,5.391667,,35.050918,-85.293019
